Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
10131,,Nextdoor,Centennial,80015,,0,0,0,0,,UNSCHEDULED,,,
10132,,Nextdoor,Centennial,80015,Main Floor Ceiling Paint,1675,1425,400,1825,,approved,,,
10138,12/3/2020 10:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,3985,3030,1205,4235,,pro approved,1,,
10133-1,,Erik,Littleton,80130,Exterior Residential Painting - Exterior Preparation,4833,3878,1255,5133,,Awaiting Approval,,,
10133-2,,Erik,Littleton,80130,Exterior Residential Painting - Exterior Preparation,2361,1899,462,2361,,Awaiting Approval,,,
10134,12/3/2020 11:00,google,Denver,80238,Exterior Residential Painting - Exterior Preparation,6000,5390,1245,6635,,approved,1,,
10140,12/4/2020 14:30,,Aurora,80013,Main Level Ceiling,1290,985,505,1490,My Website,approved,1,,
10135,,,Denver,80238,"Stairway, Loft and Hallway",2995,2325,870,3195,,pro approved,,,
10136,12/7/2020 13:00,Referral,Littleton,80130,Drywall Repair,1735,1580,155,1735,,Awaiting Approval,2,,
10141,12/7/2020 12:30,,Castle Rock,80104,Interior Painting - All Baseboards - 2 Coats,1960,1690,270,1960,My Website,declined,2,,
10137,12/7/2020 14:30,google,Castle Rock,80108,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",970,850,120,970,,Awaiting Approval,3,,
10139,12/9/2020 15:00,Referral,Strasburg,80136,Main Area Painting,4145,3320,925,4245,,pro approved,1,,
10142,12/10/2020 15:30,,Aurora,80018,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",4450,3535,1165,4700,My Website,Awaiting Approval,1,,
10145,12/10/2020 12:30,,Denver,80238,Kitchen Cabinets Preparation,3960,3665,495,4160,My Website,approved,1,,
10143,12/14/2020 14:00,Referral,Denver,80238,Exterior Residential Painting - Exterior Preparation,5775,4615,1410,6025,,approved,1,,
10144,12/11/2020 14:30,"80016,Exterior",Aurora,80015,Basement Paint,1245,850,595,1445,,Awaiting Approval,3,,
10151,12/16/2020 9:00,"Commercial,interior",Centennial,80111,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",11920,10300,1820,12120,,approved,3,,
10150,12/16/2020 13:30,repeat customer,Aurora,80013,Base Board Touch-Up,3135,3125,180,3305,My Website,approved,3,,
10117-2,11/23/2020 14:00,"Facebook,no review",Denver,80238,,0,0,0,0,,SCHEDULED,1,,
10146,12/16/2020 10:00,Referral: Bill Anderson,Denver,80212,Interior Painting - Walls - 2 Coats,3920,3360,560,3920,,Awaiting Approval,2,,
10148,12/29/2020 14:00,Referral,Denver,80249,Main Area - 2 Coats,4955,3890,1065,4955,,Awaiting Approval,1,,
10154,12/17/2020 9:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3790,2830,1160,3990,My Website,approved,3,,
10155,12/21/2020 10:30,My Website,Englewood,80112,,0,0,0,0,My Website,pro approved,3,,
10149-1,12/21/2020 12:00,My Website,Englewood,80112,14590 Office Paint,3820,2230,1590,3820,,pro approved,3,,
10152,,google,Centennial,80121,,0,0,0,0,,UNSCHEDULED,1,,
10153,12/23/2020 12:00,google,Aurora,80015,Interior Doors and Casings,2135,1725,510,2235,,Awaiting Approval,1,,
10176,,,AURORA,80013,Exterior Residential Painting - Exterior Preparation,3995,2995,1200,4195,My Website,approved,,,
10157,12/24/2020 8:00,"BNI,Property Manager,Jim Shonts",Denver,80218,Interior ,1540,1200,340,1540,My Website,approved,1,,
10149-2,12/21/2020 12:00,My Website,Englewood,80112,Office Paint,3520,2090,1430,3520,,approved,3,,
10156,12/28/2020 16:00,"Referral,no review",Denver,80238,Cabinets - Cabinet Painting,2620,2670,200,2870,,pro approved,1,,
10164-1,12/28/2020 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation Exclude North Side,6735,5440,1495,6935,My Website,approved,1,,
10158,12/31/2020 10:00,"Commercial,google,no review",Denver,80223,Interior Painting - Main Room and Smaller Room - 2 Coats,980,710,270,980,,pro approved,2,,
10159,12/28/2020 14:00,no review,Denver,80210,Basement Main Area,3590,2620,1170,3790,,approved,3,,
10160,12/28/2020 14:00,no review,Aurora,80015,Interior Main Area - 2 Coats,6835,6310,1025,7335,,approved,1,,
10163,,Referral,Denver,80238,Main Area Walls,2510,2050,460,2510,,pro approved,,,
10164-2,12/28/2020 11:30,,Denver,80238,South Side,8620,6840,1780,8620,,Awaiting Approval,1,,
10165,,,Littleton,80126,Front Entry Paint,3505,2835,820,3655,,Awaiting Approval,3,,
10166,,,Littleton,80126,Upstairs Drywall Install,5840,5150,890,6040,,approved,,,
10169,,google,Centennial,80015,Railing Painting,4833,4108,925,5033,,approved,,,
10174,1/7/2021 8:00,,Highlands Ranch ,80130,Kids Bedroom Painting,1480,920,760,1680,My Website,approved,3,,
10173-1,1/25/2021 15:00,,Littleton,80125,NOTES - Please Read,6520,5700,820,6520,,Awaiting Approval,2,,
10196-1,1/18/2021 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5710,4510,1200,5710,My Website,Awaiting Approval,1,,
10179,1/13/2021 11:30,,Denver,80230,Main Area Walls,4356,4005,835,4840,My Website,approved,1,,
10180,1/14/2021 14:30,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,4890,3690,1200,4890,My Website,approved,1,,
10182-1,1/18/2021 12:45,google,Littleton,80129,Exterior Residential Painting - Exterior Preparation,4630,3590,1040,4630,Exterior,Awaiting Approval,2,,
10198-1,1/20/2021 15:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3975,2975,1200,4175,My Website,pro approved,3,,
10183-1,1/19/2021 10:00,"no review,noreview",Aurora,80015,Exterior Residential Painting - Exterior Preparation,4675,3725,1200,4925,,pro approved,3,,
10186,,no review,Parker,80134,Main Area Paint - 2 Coats ,4910,3850,1060,4910,,approved,,,
10187,1/14/2021 12:30,,Denver,80238,Main Area Painting,2925,2700,550,3250,"interior,Referral,Stapleton",approved,1,,
10189,1/15/2021 13:00,interior,Aurora,80016,Mud Room Built In,1280,1160,120,1280,,approved,1,,
10190,1/18/2021 13:30,Referral,Highlands Ranch,80124,FOR CREW AND PROJECT MANAGER...,5350,4280,1070,5350,,approved,2,,
10193,1/21/2021 15:30,,Castle Rock,80109,Interior Painting Walls And Ceilings,5630,4830,1000,5830,My Website,declined,3,,
10182-2,1/18/2021 12:45,google,Littleton,80129,Interior Painting - Living & Dining Room,6410,5325,1085,6410,,Awaiting Approval,2,,
10183-2,1/19/2021 10:00,"no review,noreview",Aurora,80015,Ceiling Repair,2395,1995,400,2395,,Awaiting Approval,3,,
10183-3,1/19/2021 10:00,"no review,noreview",Aurora,80015,Front and Back Decking,990,770,220,990,,Awaiting Approval,3,,
10195,,Referral,Parker,80134,Dining Room Drywall Repair,1120,970,300,1270,,approved,,,
10183-4,1/19/2021 10:00,"no review,noreview",Aurora,80015,Gutter Replacement,582,582,0,582,,Awaiting Approval,3,,
10198-2,1/20/2021 15:30,,Centennial,80015,Deck Sanding and Scraping,2180,1740,440,2180,,pro declined,3,,
10200,,"Commercial,interior",Centennial,80111,Barner Fadis Main Office,2765,2085,880,2965,,Awaiting Approval,,,
10201-1,1/25/2021 14:00,"google,no review",Englewood,80110,NOTES - Please Read - Exterior,20820,15600,5220,20820,,pro approved,2,,
10202,,,Littleton,80126,"Interior Paint Walls, Ceilings, and Trim",6865,6165,900,7065,,approved,,,
10196-2,1/18/2021 11:30,,Denver,80238,Fence,1370,985,385,1370,,Awaiting Approval,1,,
10210-1,1/28/2021 14:30,,Westminster,80021,Exterior Residential Painting - House,4730,3580,1150,4730,My Website,approved,1,,
10226-1,2/3/2021 9:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5605,4400,1205,5605,My Website,Awaiting Approval,1,,
10201-2,1/25/2021 14:00,"google,no review",Englewood,80110,Interior Painting - Baywatch warehouse - Walls only,15960,13280,2680,15960,,pro approved,2,,
10201-4,1/25/2021 14:00,"google,no review",Englewood,80110,Interior Painting - South Unit walls and doors,5800,5800,0,5800,,pro approved,2,,
10204,2/15/2021 8:00,,Littleton,80126,Baseboard Install,3250,3250,0,3250,,approved,1,1,
10205,2/3/2021 14:00,Nextdoor,Littleton,80123,Interior Painting - Family Room,2375,1890,485,2375,,Awaiting Approval,2,,
10208,,no review,Denver,80203,Noodles and Company Interior Broadway,7980,6740,1240,7980,,approved,,,
10209,,no review,Denver,80202,Noodles and Company-16th Street Mall,7560,6445,1115,7560,,approved,1,,
10210-2,1/28/2021 14:30,,Westminster,80021,Secondary Garage,4475,3545,930,4475,,pro approved,1,,
10210-3,1/28/2021 14:30,,Westminster,80021,Front and Back Post Wrap,2820,2820,0,2820,,pro approved,1,,
10211,,no review,Denver,80238,Kitchen Cabinets Preparation,9575,8485,1090,9575,,pro approved,,,
10222,2/3/2021 8:00,,Denver,80211,Exterior Painting,1595,1015,780,1795,My Website,approved,3,,
10212,2/3/2021 15:00,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,12250,10790,1460,12250,,Awaiting Approval,2,,
10223,6/21/2021 8:00,no review,Highlands Ranch,80129,Exterior Residential Painting - Exterior Preparation,5445,4445,1200,5645,My Website,approved,1,1,
10213,2/8/2021 13:00,Referral,Morrison,80465,Drywall Repairs and Re-texture,6240,5780,460,6240,,Awaiting Approval,2,,
10230,2/4/2021 13:30,no review,Aurora,80015,South Reveal,3970,3630,540,4170,My Website,approved,1,,
10225,4/26/2021 8:00,,Northglenn,80234,Interior Office Painting-Main Space,2820,2200,820,3020,,approved,3,1,
10218,,,Littleton,80126,Custom Services - Custom Job,0,0,0,0,,UNSCHEDULED,,,
10219,2/8/2021 14:00,"Referral,no review",Denver,80231,Exterior Residential Painting - Exterior Preparation,4995,3995,1200,5195,,approved,3,,
10232,2/5/2021 8:00,,Centennial,80015,Interior Walls and Ceilings,6495,5675,1020,6695,My Website,pro approved,1,,
10221,,no review,Aurora,80016,Drywall Repair and Paint,250,250,0,250,google,pro approved,,,
10226-2,2/3/2021 9:00,,Denver,80238,Main Area Walls,6315,5245,1070,6315,,approved,1,,
10226-3,2/3/2021 9:00,,Denver,80238,Pergola,1570,1060,510,1570,,Awaiting Approval,1,,
10227,,,Parker,80134,Main Area Ceiling,1310,910,500,1410,,pro approved,,,
10237,2/8/2021 9:30,no review,Denver,80247,Cabinets - Cabinet Preparation,2920,2610,410,3020,My Website,approved,1,,
10231,2/9/2021 10:00,no review,Denver,80237,Interior Painting,4970,4210,960,5170,,approved,3,,
10242,2/9/2021 16:30,google,Aurora,80015,Main Area,4275,3600,800,4400,,approved,1,,
10234,,,Denver,80238,Exterior Trim,4395,3780,865,4645,,approved,,,
10235,2/10/2021 10:00,"google,no review",Englewood,80110,,0,0,0,0,,SCHEDULED,2,,
10256,2/15/2021 12:30,,Littleton,80128,Exterior Residential Painting - Exterior Preparation,5810,4750,1060,5810,My Website,approved,2,,
10248,2/11/2021 14:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5245,4295,1200,5495,My Website,pro approved,1,,
10238-1,2/11/2021 9:00,google,Denver,80247,New Fence Painting ,3145,2450,695,3145,,Awaiting Approval,3,,
10239,2/10/2021 17:30,,Aurora,80016,Basement Finish,29860,29860,0,29860,,Awaiting Approval,1,,
10240-1,2/12/2021 8:30,,Centennial,80016,Interior Painting,4925,4185,940,5125,,pro declined,3,,
10241,,no review,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4790,4110,980,5090,,pro approved,,,
10250,2/12/2021 8:00,,Denver,80230,Cabinets - Cabinet Preparation,4745,4375,620,4995,My Website,Awaiting Approval,1,,
10238-2,2/11/2021 9:00,google,Denver,80247,Exterior Side Of Fence,1870,1350,520,1870,,Awaiting Approval,3,,
10267,2/19/2021 14:30,,Highlands Ranch,80129,Exterior Residential Painting - Exterior Preparation,4360,3360,1200,4560,My Website,Awaiting Approval,3,,
10243,2/15/2021 11:30,Referral,Centennial,80122,Interior Estimate,0,0,0,0,,SCHEDULED,1,,
10244,2/17/2021 9:30,Facebook,Denver,80238,Exterior Residential Painting - Exterior Preparation,8255,6475,1780,8255,,approved,3,,
10245-1,2/16/2021 10:00,Referral,Westminster,80031,Exterior Residential Painting - Exterior Preparation,2943,2340,930,3270,,Awaiting Approval,1,,
10246,,google,Centennial,80015,Dining Room Remodel,2080,1420,860,2280,,Awaiting Approval,,,
10247,,,Lakewood,80228,Interior Painting - Basement Main Room Walls - 2 Coats,1080,880,200,1080,,approved,,,
10249,2/15/2021 15:30,no review,Aurora,80115,Dining Room,2320,1910,410,2320,My Website,approved,1,,
10251,,Referral,Centennial,80122,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,,UNSCHEDULED,,,
10252-1,2/24/2021 12:30,"Referral,no review",Denver,80238,Exterior Residential Painting - Exterior Preparation,4790,4130,1160,5290,,approved,1,,
10253,2/16/2021 11:15,,Littleton,80126,Exterior Residential Painting - Exterior Preparation,4490,3440,1200,4640,,pro declined,3,,
10240-2,2/12/2021 8:30,,Centennial,80016,Handrail Refinish,3600,3060,540,3600,,Awaiting Approval,3,,
10254-1,2/17/2021 14:00,"Facebook,Residential",Denver,80238,Closet Prep,2380,2200,180,2380,,pro declined,3,,
10255,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3850,3270,980,4250,,pro approved,,,
10257,2/22/2021 11:00,,Littleton,80128,Deck preparation,1290,1090,200,1290,,Awaiting Approval,2,,
10254-2,2/17/2021 14:00,"Facebook,Residential",Denver,80238,Fence Staining,985,530,455,985,,pro declined,3,,
10258-1,2/22/2021 14:00,"Referral,no review",Parker,80138,Sun Room,6315,5635,680,6315,,approved,1,,
10266-1,2/19/2021 11:30,,Littleton,80124,Front Entry Accent Wall,4468,3848,820,4668,My Website,pro approved,3,,
10259,2/22/2021 10:00,Referral,Centennial,80122,,0,0,0,0,,SCHEDULED,1,,
10260-1,2/23/2021 10:00,friend of Steve's,Denver,80238,Exterior Residential Painting - Exterior Preparation,5580,4770,1160,5930,"Residential,interior,Exterior,Fence",Awaiting Approval,1,,
0-6,,,,,Interior Painting,289914.52,217080,75179.52,292259.52,,Awaiting Approval,,,
0-7,,,,,Exterior Residential Painting - Exterior Preparation,63820,54850,8970,63820,,Awaiting Approval,,,
10261,,no review,Aurora,80017,Wall Surfaces,4380,3690,690,4380,,Awaiting Approval,,,
10262,,,,,Fence Prep,18497.5,14017.5,4480,18497.5,,Awaiting Approval,,,
10263,,,Denver,80222,Exterior Residential Painting - Exterior Painting - 2 Coats,45880,36400,14980,51380,,Awaiting Approval,,,
10322,2/22/2021 11:30,,Aurora,80015,Demo and Disposal,29220,29220,0,29220,My Website,Awaiting Approval,1,,
10264-1,,no review,Denver,80210,Interior Beams,2995,2405,590,2995,,Awaiting Approval,,,
10264-2,,no review,Denver,80210,Front Porch Enclosure,2730,2020,710,2730,,approved,,,
10265,,Referral,Centennial,80122,Interior Painting,5250,5250,0,5250,,pro approved,,,
10279-1,2/24/2021 9:30,,Littleton,80126,Interior Painting,6940,5700,1440,7140,My Website,Awaiting Approval,3,,
10266-2,2/19/2021 11:30,,Littleton,80124,Ceiling Patch,2920,1920,1000,2920,,Awaiting Approval,3,,
10268,,"Commercial,interior",Centennial,80111,Main Space Painting,13180,11600,1780,13380,,approved,3,,
10269,3/1/2021 12:00,Referral,Denver,80221,Exterior Residential Painting - Exterior Painting - 2 Coats,3390,2910,680,3590,,Awaiting Approval,4,,
10278,2/24/2021 10:30,,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,4180,3180,1200,4380,My Website,Awaiting Approval,3,,
10271,2/24/2021 9:30,,Denver,80220,Interior Main Walls and Ceilings,5450,4680,1070,5750,My Website,approved,1,,
10270,2/26/2021 9:30,,Denver,80238,Interior Walls,1782,1560,420,1980,My Website,Awaiting Approval,4,,
10285-1,3/1/2021 12:30,,Denver,80238,Exterior Residential Painting - Exterior Painting - 2 Coats,5280,4430,1200,5630,My Website,pro approved,4,,
10272,,google,Denver,80231,,0,0,0,0,,UNSCHEDULED,,,
10273-1,2/25/2021 14:00,"Nextdoor,no review",Aurora,80016,Kitchen Cabinets ,7723.5,7180,950,8130,,pro approved,4,,
10283-1,2/25/2021 13:30,"Archive,Exterior,80126",Highlands Ranch,80126,Interior Baseboard Painting,5415,4715,900,5615,My Website,Awaiting Approval,3,,
10274-1,2/26/2021 10:00,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,5932.75,5040,1205,6245,My Website,approved,4,,
10260-2,2/23/2021 10:00,friend of Steve's,Denver,80238,Interior Walls and Trim,6880,6290,990,7280,,Awaiting Approval,1,,
10275,2/26/2021 9:00,google,Littleton,80126,New Handrail Rebuild,7565,5365,2400,7765,,Awaiting Approval,3,,
10276,,"BNI,Property Manager,Jim Shonts",Denver,80223,Prep ,1540,1100,640,1740,,Awaiting Approval,,,
10277,,"google,no review",Englewood,80110,South Side Warehouse ,6822,6640,940,7580,,pro approved,,,
10293,3/2/2021 17:00,,Highlands Ranch,80129,Exterior Residential Painting - Exterior Preparation,3960,2960,1200,4160,My Website,approved,3,,
10279-2,2/24/2021 9:30,,Littleton,80126,Handrail,3260,2560,850,3410,,Awaiting Approval,3,,
10280,,no review,,,Cabinets - Cabinet Preparation,3870,3280,590,3870,,Awaiting Approval,,,
10252-2,2/24/2021 12:30,"Referral,no review",Denver,80238,Back Fence and Gates,890,890,0,890,,declined,1,,
10281,,,Denver,80238,Door Painting,760,760,0,760,,pro approved,,,
10279-3,2/24/2021 9:30,,Littleton,80126,Baseboard Removal Install and Paint,8940,8340,600,8940,,Awaiting Approval,3,,
10274-2,2/26/2021 10:00,no review,Denver,80238,Fence,1180,870,310,1180,,pro approved,4,,
10290,3/1/2021 9:30,no review,Denver,80238,Garage Drywall,1440,1440,0,1440,My Website,approved,4,,
10282,,,Littleton,80126,Custom Services - Custom Job,0,0,0,0,,UNSCHEDULED,,,
10284-1,3/3/2021 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5240,4240,1200,5440,My Website,approved,4,,
10283-2,2/25/2021 13:30,"Archive,Exterior,80126",Highlands Ranch,80126,Interior Painting,1995,2290,705,2995,,Awaiting Approval,3,,
10283-4,2/25/2021 13:30,"Archive,Exterior,80126",Highlands Ranch,80126,Handrail Paint,3985,3060,925,3985,,Awaiting Approval,3,,
10283-5,2/25/2021 13:30,"Archive,Exterior,80126",Highlands Ranch,80126,Ceiling Paint,2910,2090,820,2910,,Awaiting Approval,3,,
10286,,internet,Greenwood Village,80111,Estimate -custom work,0,0,0,0,,UNSCHEDULED,,,
10287,,"Residential,repeat customer",Aurora,80016,estimate ,0,0,0,0,,UNSCHEDULED,,,
10285-3,3/1/2021 12:30,,Denver,80238,Front and Right Reveal Exterior Painting - 2 Coats,3680,3180,600,3780,,Awaiting Approval,4,,
10288,,,Boulder,80302,,0,0,0,0,,UNSCHEDULED,,,
10289,,,Boulder,80302,,0,0,0,0,,UNSCHEDULED,,,
10304-1,3/5/2021 10:00,,Boulder,80303,Interior Painting,6021,5670,1020,6690,,approved,3,,
10299-1,3/5/2021 8:00,,Westminster,80021,Interior Painting,6045,5445,800,6245,My Website,Awaiting Approval,3,,
10291,3/5/2021 10:00,google,Aurora,80016,Perimeter Privacy Fence,990,880,310,1190,,Awaiting Approval,4,,
10292-1,3/8/2021 11:30,"google,no review",Aurora,80011,Interior Painting- 2 Coats,5565,4615,950,5565,,approved,4,,
10294,,no review,Aurora,80014,Pool House,1990,1530,660,2190,,Awaiting Approval,,,
10296-1,3/10/2021 14:00,"Referral,no review,repeat customer",Parker,80138,Handrail Prep and Paint,3335,2880,605,3485,"Residential,railings,interior",approved,4,,
10323-1,,"Commercial,interior",Aurora,80014,Exterior Residential Painting - Exterior Preparation-North Building,35825,24535,11290,35825,,pro approved,,,
